City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Hambantota,LK,6.1241,81.1185,79.63,83,100,15.43,overcast clouds
85,Ponta Do Sol,PT,32.6667,-17.1,70.0,85,98,10.89,light rain
86,Severnoye,RU,56.3491,78.3619,59.76,66,41,7.54,scattered clouds
87,Bilibino,RU,68.0546,166.4372,44.11,48,94,3.13,overcast clouds
88,Upernavik,GL,72.7868,-56.1549,31.55,82,17,14.43,few clouds
89,Eyl,SO,7.9803,49.8164,80.11,79,59,26.42,broken clouds
90,Obo,CF,5.3998,26.4869,69.31,95,75,7.0,moderate rain
91,Avarua,CK,-21.2078,-159.775,77.05,78,40,9.22,scattered clouds
92,Grand Gaube,MU,-20.0064,57.6608,71.38,62,0,4.0,clear sky
93,Talara,PE,-4.5772,-81.2719,75.96,57,0,14.97,clear sky
94,Taloqan,AF,36.7361,69.5345,66.18,40,1,1.07,clear sky
95,Iqaluit,CA,63.7506,-68.5145,32.7,80,100,11.01,overcast clouds
96,Kodiak,US,57.79,-152.4072,54.91,67,0,4.61,clear sky
97,Khovu-Aksy,RU,51.1333,93.6,56.68,78,99,3.76,overcast clouds
98,Norheimsund,NO,60.3709,6.1456,51.94,88,99,0.92,overcast clouds
99,Pilar,BR,-9.5972,-35.9567,82.33,82,67,7.63,broken clouds
100,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,75,16.11,broken clouds
101,Bambous Virieux,MU,-20.3428,57.7575,71.22,57,45,19.8,scattered clouds
102,Oranjemund,NA,-28.55,16.4333,56.16,92,0,10.51,clear sky
103,Mayumba,GA,-3.432,10.6554,73.22,88,39,7.0,scattered clouds
104,Komsomolskiy,UZ,40.4272,71.7189,69.44,34,45,12.59,scattered clouds
105,Turukhansk,RU,65.8167,87.9833,46.72,68,30,9.51,light rain
106,Pitimbu,BR,-7.4706,-34.8086,79.56,82,76,8.48,moderate rain
107,Teahupoo,PF,-17.8333,-149.2667,73.36,69,32,8.63,scattered clouds
108,Oil City,US,41.4339,-79.7064,77.88,55,75,5.75,broken clouds
109,Novo Aripuana,BR,-5.1206,-60.3797,87.58,60,43,3.09,light rain
